Название;Артикул ТД Елена;Цена ТД Елена;Артикул Натали;Цена Натали;Ссылка на артикул Натали;Артикул Гомани;Цена Гомани;Ссылка на артикул Гомани;Артикул ТД Валерия;Цена ТД Валерия;Ссылка на артикул ТД Валерия;Артикул Оддис;Цена Оддис;Ссылка на артикул Оддис;Артикул Модно;Цена Модно;Ссылка на артикул Модно;Артикул Инстанс;Цена Инстанс;Ссылка на артикул Инстанс
Платье;32189;460;024328;{'Опт': '765', 'Мелкий опт': '920', 'Розница': '1530'};https://natali37.ru//product/24328;;;;;;;;;;;;;;;
Платье;32070;505;024035;{'Опт': '610', 'Мелкий опт': '735', 'Розница': '1220'};https://natali37.ru//product/24035;;;;;;;;;;;;;;;
Платье;32049;430;017905;{'Опт': '550', 'Мелкий опт': '660', 'Розница': '1100'};https://natali37.ru//product/17905;;;;;;;;;;;;;;;
Сарафан;319193;365;;;;;;;;;;;;;Сарафан 38109;955;https://modno-trikotazh.ru/platja-5bd19004a328b/32527;;;
Сарафан;31976;460;04333;{'Опт': '435', 'Мелкий опт': '525', 'Розница': '870'};https://natali37.ru//product/4333;;;;;;;;;;;;;;;
Костюм;32263;1115;018203;{'Опт': '855', 'Мелкий опт': '1030', 'Розница': '1710'};https://natali37.ru//product/18203;;;;;;;;;;;;;;;
Костюм;32111;1715;025703;{'Опт': '2220', 'Мелкий опт': '2665', 'Розница': '4440'};https://natali37.ru//product/25703;;;;;;;;;;;;;;;
Костюм;32111;1715;025703;{'Опт': '2220', 'Мелкий опт': '2665', 'Розница': '4440'};https://natali37.ru//product/25703;;;;;;;;;;;;;;;
Костюм (начес);321153;2110;023053;{'Опт': '2340', 'Мелкий опт': '2810', 'Розница': '4680'};https://natali37.ru//product/23053;;;;;;;;;;;;;;;
Костюм;32263;1115;018203;{'Опт': '855', 'Мелкий опт': '1030', 'Розница': '1710'};https://natali37.ru//product/18203;;;;;;;;;;;;;;;
Костюм (футб+велосипедки);322102;690;024360;{'Опт': '795', 'Мелкий опт': '955', 'Розница': '1590'};https://natali37.ru//product/24360;;;;;;;;;;;;;;;
Халат;32291;550;025188;{'Опт': '785', 'Мелкий опт': '945', 'Розница': '1570'};https://natali37.ru//product/25188;;;;;;;;;;;;;;;
Халат;322107;450;025575;{'Опт': '680', 'Мелкий опт': '820', 'Розница': '1360'};https://natali37.ru//product/25575;;;;;;;;;;;;;;;
Футболка;321165;405;026683;{'Опт': '590', 'Мелкий опт': '710', 'Розница': '1180'};https://natali37.ru//product/26683;;;;;;;;;;;;;;;
Футболка;32139;460;025761;{'Опт': '590', 'Мелкий опт': '710', 'Розница': '1180'};https://natali37.ru//product/25761;;;;;;;;;;;;;;;
